"STUDENTCODE","COURSECODENO","FACCODE","FACULTYGROUP","DEPCODE","MAJORCODE","PROGRAM","STUDYPROGRAMSYSTEM","PROJECT","STARTACADYEAR","STARTSEMESTER","MAXPERIOD","MINPERIOD","CREDITTOT","FACNAME","DEPNAME","MAJORNAME","FACNAMEENG","DEPNAMEENG","MAJORNAMEENG","UPDATEDATE"
"6478304321","3351","21","1","2101","21010","7"," ","215","2021","1","16","7","72","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมโยธา","วิศวกรรมโยธา                                                          ","FACULTY OF ENGINEERING","DEPARTMENT OF CIVIL ENGINEERING","Civil Engineering                                                     ","11/05/2022 10:30:53"
"6530025321","3347","21","1","2109","21091","3"," ","021","2022","1","16","7","146","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมโลหการ","วิศวกรรมโลหการและวัสดุ                                                ","FACULTY OF ENGINEERING","DEPARTMENT OF METALLURGICAL ENGINEERING","Metallurgical and Materials Engineering                               ","15/08/2023 17:30:04"
"6530027621","3346","21","1","2103","21030","3"," ","021","2022","1","16","7","148","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมเครื่องกล","วิศวกรรมเครื่องกล                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF MECHANICAL ENGINEERING","Mechanical Engineering                                                ","10/08/2023 08:45:54"
"6530029921","3637","21","1","2104","21040","3"," ","021","2022","1","16","7","144","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมอุตสาหการ","วิศวกรรมอุตสาหการ                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF INDUSTRIAL ENGINEERING","Industrial Engineering                                                ","10/08/2023 08:59:58"
"6530031021","3825","21","1","2102","21020","3"," ","021","2022","1","16","7","144","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมไฟฟ้า","วิศวกรรมไฟฟ้า                                                         ","FACULTY OF ENGINEERING","DEPARTMENT OF ELECTRICAL ENGINEERING","Electrical Engineering                                                ","10/08/2023 08:33:15"
"6530033321","3656","21","1","2107","21070","3"," ","021","2022","1","16","7","147","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมสิ่งแวดล้อมและความยั่งยืน","วิศวกรรมสิ่งแวดล้อม                                                   ","FACULTY OF ENGINEERING","DEPARTMENT OF ENVIRONMENTAL AND SUSTAINABLE ENGINEERING","Environmental Engineering                                             ","15/08/2023 17:22:55"
"6530036221","3346","21","1","2103","21030","3"," ","021","2022","1","16","7","148","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมเครื่องกล","วิศวกรรมเครื่องกล                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF MECHANICAL ENGINEERING","Mechanical Engineering                                                ","10/08/2023 08:45:54"
"6530038521","3637","21","1","2104","21040","3"," ","021","2022","1","16","7","144","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมอุตสาหการ","วิศวกรรมอุตสาหการ                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF INDUSTRIAL ENGINEERING","Industrial Engineering                                                ","10/08/2023 08:59:58"
"6530040721","3346","21","1","2103","21030","3"," ","021","2022","1","16","7","148","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมเครื่องกล","วิศวกรรมเครื่องกล                                                     ","FACULTY OF ENGINEERING","DEPARTMENT OF MECHANICAL ENGINEERING","Mechanical Engineering                                                ","10/08/2023 08:45:54"
"6530042021","3513","21","1","2101","21010","3"," ","021","2022","1","16","7","146","คณะวิศวกรรมศาสตร์","ภาควิชาวิศวกรรมโยธา","วิศวกรรมโยธา                                                          ","FACULTY OF ENGINEERING","DEPARTMENT OF CIVIL ENGINEERING","Civil Engineering                                                     ","09/08/2023 17:42:23"
