"STUDENTCODE","YEAR","SEMESTER","COURSECODE","TOTALCREDIT","GRADE","LASTUPDATE","FACCODE","DEPCODE","MAJORCODE"
"6372139021","2020","2","2110625","3","   ","08/04/2026","21","2110","21100"
"6372142821","2025","1","2108811","12","   ","08/04/2026","21","2108","21080"
"6372142821","2024","1","2108811","12","   ","08/04/2026","21","2108","21080"
"6372142821","2023","1","2108811","12","   ","08/04/2026","21","2108","21080"
"6372142821","2022","1","2108811","12","   ","08/04/2026","21","2108","21080"
"6372142821","2021","2","2108811","12","   ","08/04/2026","21","2108","21080"
"6372142821","2021","1","2108557","3","   ","08/04/2026","21","2108","21080"
"6372142821","2021","1","2108512","3","   ","08/04/2026","21","2108","21080"
"6372142821","2020","2","2108560","3","   ","08/04/2026","21","2108","21080"
"6532189021","2023","2","5500208","3","   ","08/04/2026","21","2111","21113"
"6532189021","2023","2","2111208","3","   ","08/04/2026","21","2111","21113"
"6532189021","2023","2","2104253","3","   ","08/04/2026","21","2111","21113"
"6532189021","2023","2","2102391","3","   ","08/04/2026","21","2111","21113"
"6532189021","2023","1","2111205","3","   ","08/04/2026","21","2111","21113"
"6532189021","2023","1","2111203","1","   ","08/04/2026","21","2111","21113"
"6532189021","2023","1","2111200","3","   ","08/04/2026","21","2111","21113"
"6532189021","2023","1","2103213","3","   ","08/04/2026","21","2111","21113"
"6532189021","2022","2","2304184","1","   ","08/04/2026","21","2111","21113"
"6532189021","2022","2","2301107","3","   ","08/04/2026","21","2111","21113"
"6532189021","2022","2","2109101","3","   ","08/04/2026","21","2111","21113"
"6532189021","2022","1","5500111","3","   ","08/04/2026","21","2111","21113"
"6532189021","2022","1","2304103","3","   ","08/04/2026","21","2111","21113"
"6532189021","2022","1","2302127","3","   ","08/04/2026","21","2111","21113"
"6532189021","2022","1","2103106","3","   ","08/04/2026","21","2111","21113"
"6532190521","2025","1","2112344","1","   ","08/04/2026","21","2101","21010"
"6532190521","2025","1","2101455","3","   ","08/04/2026","21","2101","21010"
"6532190521","2025","1","2101322","1","   ","08/04/2026","21","2101","21010"
"6532190521","2025","1","2101311","4","   ","08/04/2026","21","2101","21010"
"6532190521","2024","2","2108306","1","   ","08/04/2026","21","2101","21010"
"6532190521","2024","2","2101335","2","   ","08/04/2026","21","2101","21010"
"6532190521","2024","2","2101302","1","   ","08/04/2026","21","2101","21010"
"6532190521","2024","2","2101253","3","   ","08/04/2026","21","2101","21010"
"6532190521","2024","1","2304104","3","   ","08/04/2026","21","2101","21010"
"6532190521","2024","1","2101490","1","   ","08/04/2026","21","2101","21010"
"6532190521","2024","1","2101252","3","   ","08/04/2026","21","2101","21010"
"6532190521","2023","3","3700110","3","   ","08/04/2026","21","2101","21010"
"6532190521","2023","2","2304104","3","   ","08/04/2026","21","2101","21010"
"6532190521","2023","2","2108298","3","   ","08/04/2026","21","2101","21010"
"6532190521","2023","2","2101254","2","   ","08/04/2026","21","2101","21010"
"6532190521","2023","1","5500208","3","   ","08/04/2026","21","2101","21010"
"6532190521","2023","1","3200106","3","   ","08/04/2026","21","2101","21010"
"6532190521","2023","1","2108205","3","   ","08/04/2026","21","2101","21010"
"6532190521","2023","1","2103213","3","   ","08/04/2026","21","2101","21010"
"6532190521","2022","3","2305100","3","   ","08/04/2026","21","2101","21010"
"6532190521","2022","2","2304184","1","   ","08/04/2026","21","2101","21010"
"6532190521","2022","2","2301108","3","   ","08/04/2026","21","2101","21010"
"6532190521","2022","2","2109101","3","   ","08/04/2026","21","2101","21010"
"6532190521","2022","2","2100111","3","   ","08/04/2026","21","2101","21010"
"6532190521","2022","1","2304183","1","   ","08/04/2026","21","2101","21010"
"6532190521","2022","1","2302127","3","   ","08/04/2026","21","2101","21010"
"6532190521","2022","1","2103106","3","   ","08/04/2026","21","2101","21010"
"6532191121","2025","1","2304104","3","   ","08/04/2026","21","2109","21091"
"6532191121","2025","1","2109518","3","   ","08/04/2026","21","2109","21091"
"6532191121","2025","1","2109478","1","   ","08/04/2026","21","2109","21091"
"6532191121","2025","1","2109430","3","   ","08/04/2026","21","2109","21091"
"6532191121","2025","1","2109411","3","   ","08/04/2026","21","2109","21091"
"6532191121","2024","2","2109399","1","   ","08/04/2026","21","2109","21091"
"6532191121","2024","2","2109341","3","   ","08/04/2026","21","2109","21091"
"6532191121","2024","2","2109335","3","   ","08/04/2026","21","2109","21091"
"6532191121","2024","1","2109377","1","   ","08/04/2026","21","2109","21091"
"6532191121","2024","1","2109321","3","   ","08/04/2026","21","2109","21091"
"6532191121","2024","1","2102392","1","   ","08/04/2026","21","2109","21091"
"6532191121","2024","1","0123101","3","   ","08/04/2026","21","2109","21091"
"6532191121","2023","2","2305106","3","   ","08/04/2026","21","2109","21091"
"6532191121","2023","2","2109277","1","   ","08/04/2026","21","2109","21091"
"6532191121","2023","2","2109212","3","   ","08/04/2026","21","2109","21091"
"6532191121","2023","1","2305100","3","   ","08/04/2026","21","2109","21091"
"6532191121","2023","1","2109276","1","   ","08/04/2026","21","2109","21091"
"6532191121","2023","1","2109210","3","   ","08/04/2026","21","2109","21091"
"6532191121","2022","3","3200106","3","   ","08/04/2026","21","2109","21091"
"6532191121","2022","2","5500112","3","   ","08/04/2026","21","2109","21091"
"6532191121","2022","1","2304183","1","   ","08/04/2026","21","2109","21091"
