"YEAR","SEMESTER","COURSECODE","COURSENAME","SECTION","ROWSEQ","TEACHTYPE","DAY1","DAY2","DAY3","DAY4","DAY5","DAY6","DAY7","STARTTIME","ENDTIME","BUILDING","ROOM","STUDYPROGRAMSYSTEM","GENEDSTATUS","GENERALSUBJECT","LECTURECREDIT","NONLECTURECREDIT","TOTALCREDIT","REALREG","TOTALREG","REMARK1","REMARK2","REMARK3","FACCODE"
"2023","3","2163694","ADV TOP ENG MGT IV","1","1","LECT","AR","","","","","","","AR  ","AR  ","AR   ","AR   ","S","N","    ","2.000",".000","2.000","1","50","","","","21"
"2015","1","2111603","RAD DET MST LAB","1","1","LAB","FR","","","","","","","1300","1600","NT   ","306  ","S","N","    ",".000","1.000","1.000","2","25"," "," "," ","21"
"2022","1","2145497","SEL TOP AERO I","1","1","LECT","AR","","","","","","","AR  ","AR  ","AR   ","AR   ","I","N","3   ","3.000",".000","3.000","0","40","ENG ACOUSTICS","","","21"
"2022","1","2147102","INTRO ROBOTICS","1","1","LECT","FR","","","","","","","0900","1200","ENG2 ","303/2","I","Y","3   ","3.000",".000","3.000","54","60","","","","21"
"2022","1","2147204","LIN ALGE MUL CAL","1","1","LECT","MO","","","","","","","0900","1200","ENG2 ","210  ","I","N","    ","3.000",".000","3.000","40","45","","","","21"
"2022","1","2147211","ENG DESIGN PRO CAD","1","2","LECT","WE","","","","","","","1300","1430","ENG3 ","204  ","I","N","    ","3.000",".000","3.000","45","45","","","","21"
"2022","1","2147212","ROBO PROJECT I","1","1","PRAC","MO","","","","","","","1300","1600","EN100","506  ","I","N","    ",".000","1.000","1.000","42","42","","","","21"
"2022","1","2147309","MECHATRONICS","1","1","LECT","TU","","","","","","","1300","1600","ENG2 ","304/2","I","N","    ","3.000",".000","3.000","36","40","","","","21"
"2022","1","2147318","DIFF EQ DYNA SIM","1","1","LECT","MO","WE","","","","","","0930","1100","ENG3 ","222  ","I","N","    ","3.000",".000","3.000","6","40","","","","21"
"2022","1","2147329","DIGITAL IMAGE","1","1","LECT","WE","","","","","","","1300","1600","EN100","201B ","I","N","    ","3.000",".000","3.000","20","30","","","","21"
