"COURSECODENO","MAJORCODE","DEGREE","MAJOR","NOYEARSTUDY","PLAN1","LANGUAGE1","PROGRAMSYSTEM","CALENDAR","BEGINYEAR","BEGINSEMESTER","FACCODE","DEPCODE"
"1263","21004","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมเหมืองแร่และธรณีวิทยาเหมืองแร่","4.0","     "," ","S","S","1975","1","21","2100"
"1180","21002","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมสารสนเทศและการสื่อสาร","4.0","","E","S","I","2006","1","21","2100"
"0696","21091","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมโลหการและวัสดุ                                                ","4.0",""," ","S","S","2001","1","21","2109"
"0775","21080","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมสำรวจ                                                         ","4.0",""," ","S","S","2002","1","21","2108"
"0772","21102","วิทยาศาสตรมหาบัณฑิต","วิศวกรรมซอฟต์แวร์","2.0","ก(2) "," ","S","S","2002","1","21","2110"
"0746","21063","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมทรัพยากรธรณี","4.0",""," ","S","S","2002","1","21","2106"
"0773","21102","วิทยาศาสตรมหาบัณฑิต","วิศวกรรมซอฟต์แวร์","2.0","ข    "," ","S","S","2002","1","21","2110"
"0779","21100","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมคอมพิวเตอร์                                                   ","4.0",""," ","S","S","2002","1","21","2110"
"0547","21000","ไม่สังกัดการศึกษา","",".5","     "," ","S","S","2000","1","21","2100"
"0011","21010","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมโยธา                                                          ","4.0","     "," ","S","S","1987","1","21","2101"
"0046","21010","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมโยธา                                                          ","3.0","2(2) "," ","S","S","1983","1","21","2101"
"0453","21010","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมโยธา                                                          ","3.0","1(2) "," ","S","S","1998","1","21","2101"
"0655","21010","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมโยธา                                                          ","4.0","2(1) ","E","S","S","2002","1","21","2101"
"0010","21020","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมไฟฟ้า                                                         ","4.0","     "," ","S","S","1987","1","21","2102"
"0045","21020","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมไฟฟ้า                                                         ","3.0","2(2) "," ","S","S","1983","1","21","2102"
"0007","21030","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมเครื่องกล                                                     ","4.0",""," ","S","S","1986","1","21","2103"
"0044","21030","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมเครื่องกล                                                     ","3.0","2(2) "," ","S","S","1983","1","21","2103"
"0457","21030","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมเครื่องกล                                                     ","3.0","1(2) "," ","S","S","1998","1","21","2103"
"0022","21040","ประกาศนียบัตรบัณฑิต","วิศวกรรมอุตสาหการ                                                     ","1.0","     "," ","S","S","1991","1","21","2104"
"0028","21010","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมโยธา                                                          ","2.0","ก(2) "," ","S","S","1977","1","21","2101"
"0923","21030","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมเครื่องกล                                                     ","4.0",""," ","S","S","1975","1","21","2103"
"0938","21100","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมคอมพิวเตอร์                                                   ","2.0","ก(2) "," ","S","S","2003","1","21","2110"
"0937","21063","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมทรัพยากรธรณี","2.0","ก(2) "," ","S","S","2003","1","21","2106"
"0014","21080","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมสำรวจ                                                         ","4.0","     "," ","S","S","1975","1","21","2108"
"1080","21020","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมไฟฟ้า                                                         ","4.0",""," ","S","S","2004","1","21","2102"
"0035","21040","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมอุตสาหการ                                                     ","2.0","ก(2) "," ","S","S","1992","1","21","2104"
"2907","21091","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมโลหการและวัสดุ                                                ","4.0",""," ","S","S","2016","1","21","2109"
"2909","21100","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมคอมพิวเตอร์                                                   ","4.0",""," ","S","S","2016","1","21","2110"
"2911","21032","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมเรือ                                                          ","4.0",""," ","S","S","2016","1","21","2103"
"2913","21063","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมทรัพยากรธรณี","4.0",""," ","S","S","2016","1","21","2106"
"2915","21040","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมอุตสาหการ                                                     ","4.0",""," ","S","S","2016","1","21","2104"
"2917","21070","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมสิ่งแวดล้อม                                                   ","4.0",""," ","S","S","2016","1","21","2107"
"2919","21031","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมยานยนต์                                                       ","4.0",""," ","S","S","2016","1","21","2103"
"2921","21050","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมเคมี                                                          ","2.0","ก(2) "," ","S","S","2016","1","21","2105"
"2930","21000","ไม่สังกัดการศึกษา","",".5","","E","S","S","2016","1","21","2100"
"2934","21000","ไม่สังกัดการศึกษา","","1.0","","E","S","S","2017","1","21","2100"
"2960","21040","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมอุตสาหการ                                                     ","2.0","ก(2) "," ","S","S","2017","1","21","2104"
"3815","21020","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมไฟฟ้า                                                         ","3.0","1.1  "," ","S","S","2018","1","21","2102"
"3817","21020","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมไฟฟ้า                                                         ","3.0","2.1  "," ","S","S","2018","1","21","2102"
"3861","2100A","วิทยาศาสตรมหาบัณฑิต","วิศวกรรมระบบเมืองอัจฉริยะ","2.0","ก(2) "," ","S","S","2018","1","21","2100"
"3871","21064","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมทรัพยากรธรณีและปิโตรเลียม","3.0","1.1  ","E","S","S","2020","1","21","2106"
"4207","21092","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมพื้นผิวและการกัดกร่อน","2.0","ก(2) "," ","S","S","2022","1","21","2109"
"4209","21121","วิทยาศาสตรดุษฎีบัณฑิต","การจัดการทรัพยากรน้ำ","4.0","1.2  "," ","S","S","2022","2","21","2112"
"4211","21121","วิทยาศาสตรดุษฎีบัณฑิต","การจัดการทรัพยากรน้ำ","4.0","2.2  "," ","S","S","2022","2","21","2112"
"4213","21050","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมเคมี                                                          ","4.0","1.2  "," ","S","S","2023","1","21","2105"
"4215","21050","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมเคมี                                                          ","4.0","2.2  "," ","S","S","2023","1","21","2105"
"4217","21111","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมนิวเคลียร์                                                    ","2.0","ก(2) "," ","S","S","2023","1","21","2111"
"4219","21111","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมนิวเคลียร์                                                    ","5.0","1.2  "," ","S","S","2023","1","21","2111"
"4221","21111","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมนิวเคลียร์                                                    ","5.0","2.2  "," ","S","S","2023","1","21","2111"
"4223","21082","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมสำรวจ","3.0","1.1  "," ","S","S","2023","1","21","2108"
"4225","21007","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมชีวเวช","2.0","ก(1) "," ","S","S","2023","1","21","2100"
"4227","21007","วิทยาศาสตรมหาบัณฑิต","วิศวกรรมชีวเวช","2.0","ก(1) "," ","S","S","2023","1","21","2100"
"4229","21007","วิทยาศาสตรดุษฎีบัณฑิต","วิศวกรรมชีวเวช","3.0","1.1  "," ","S","S","2023","1","21","2100"
"4231","21007","วิทยาศาสตรดุษฎีบัณฑิต","วิศวกรรมชีวเวช","3.0","2.1  "," ","S","S","2023","1","21","2100"
"4233","21091","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมโลหการและวัสดุ                                                ","3.0","1.1  "," ","S","S","2023","1","21","2109"
"4235","21100","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมคอมพิวเตอร์                                                   ","2.0","ก(2) "," ","S","S","2023","1","21","2110"
"4237","21100","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมคอมพิวเตอร์                                                   ","5.0","1.2  "," ","S","S","2023","1","21","2110"
"4239","21100","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมคอมพิวเตอร์                                                   ","5.0","2.2  "," ","S","S","2023","1","21","2110"
"4241","21102","วิทยาศาสตรมหาบัณฑิต","วิศวกรรมซอฟต์แวร์","2.0","ข    "," ","S","S","2023","1","21","2110"
"4243","21020","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมไฟฟ้า                                                         ","2.0","ก(1) "," ","S","S","2023","1","21","2102"
"4245","21020","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมไฟฟ้า                                                         ","3.0","1.1  "," ","S","S","2023","1","21","2102"
"4247","21020","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมไฟฟ้า                                                         ","3.0","2.1  "," ","S","S","2023","1","21","2102"
"4249","21010","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมโยธา                                                          ","2.0","ก(2) "," ","S","S","2023","1","21","2101"
"4251","21010","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมโยธา                                                          ","3.0","2.1  ","E","S","I","2023","1","21","2101"
"1852","21007","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมชีวเวช","2.0","ก(2) "," ","S","S","2011","1","21","2100"
"1854","21007","วิทยาศาสตรดุษฎีบัณฑิต","วิศวกรรมชีวเวช","3.0","1.1  "," ","S","S","2011","1","21","2100"
"1856","21007","วิทยาศาสตรดุษฎีบัณฑิต","วิศวกรรมชีวเวช","4.0","2.2  "," ","S","S","2011","1","21","2100"
"1866","21040","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมอุตสาหการ                                                     ","3.0","1.1  "," ","S","S","2011","1","21","2104"
"1870","21091","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมโลหการและวัสดุ                                                ","2.0","ก(2) "," ","S","S","2011","1","21","2109"
"1891","21070","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมสิ่งแวดล้อม                                                   ","2.0","ก(2) "," ","S","S","2011","1","21","2107"
"1932","21063","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมทรัพยากรธรณี","4.0",""," ","S","S","2011","1","21","2106"
"1934","21031","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมยานยนต์                                                       ","4.0",""," ","S","S","2011","1","21","2103"
"1936","21032","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมเรือ                                                          ","4.0",""," ","S","S","2011","1","21","2103"
"1938","21070","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมสิ่งแวดล้อม                                                   ","4.0",""," ","S","S","2011","1","21","2107"
"1940","21080","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมสำรวจ                                                         ","4.0",""," ","S","S","2011","1","21","2108"
"1942","21050","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมเคมี                                                          ","4.0",""," ","S","S","2011","1","21","2105"
"2190","21082","วิศวกรรมศาสตรดุษฎีบัณฑิต","วิศวกรรมสำรวจ","3.0","1.1  "," ","S","S","2014","1","21","2108"
"2194","21007","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมชีวเวช","2.0","ก(1) "," ","S","S","2014","1","21","2100"
"2196","21007","วิทยาศาสตรมหาบัณฑิต","วิศวกรรมชีวเวช","2.0","ก(1) "," ","S","S","2014","1","21","2100"
"2198","21007","วิทยาศาสตรดุษฎีบัณฑิต","วิศวกรรมชีวเวช","3.0","1.1  "," ","S","S","2014","1","21","2100"
"3895","21121","วิทยาศาสตรมหาบัณฑิต","การจัดการทรัพยากรน้ำ","2.0","ก(1) "," ","S","S","2020","1","21","2112"
"4253","21008","วิศวกรรมศาสตรมหาบัณฑิต","วิศวกรรมและเทคโนโลยีการป้องกันประเทศ","2.0","ก(1) "," ","S","S","2023","1","21","2100"
"2167","21002","วิศวกรรมศาสตรบัณฑิต","วิศวกรรมสารสนเทศและการสื่อสาร","4.0","","E","S","I","2013","1","21","2100"
