"PERSONNEL_ID","BEGIN_DATE","END_DATE","CONTRACT_TYPE_ID","CONTRACT_TYPE_NAME","PROBATION","PROBATION_UNIT","CONTRACT_END_DATE","DISEMPLOY_EMPLOYER","DISEMPLOY_EMPLOYEE"
"80007149","20250701","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20260930"," "," "
"80007150","20250701","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20260930"," "," "
"80007151","20250701","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20260930"," "," "
"80007152","20250701","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20260930"," "," "
"80007153","20250701","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20260930"," "," "
"80007154","20250701","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20260930"," "," "
"80007155","20250701","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20260930"," "," "
"80007156","20250801","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20261031"," "," "
"80006758","20251101","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20270131"," "," "
"80006759","20241101","99991231","ZZ","ระยะเวลาปฏิบัติงาน","","","20260131","",""
"80006760","20251101","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20260131"," "," "
"10026143","20260201","99991231","Y2","สัญญาปฏิบัติงาน",""," ","20290131"," "," "
"80000218","20240104","99991231","ZZ","ระยะเวลาปฏิบัติงาน","","","20260731","",""
"10002763","20250101","99991231","Y2","สัญญาปฏิบัติงาน","","","20330930","",""
"80006879","20250401","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20260930"," "," "
"80006880","20250324","99991231","ZZ","ระยะเวลาปฏิบัติงาน","","","20260630","",""
"10026571","20250901","99991231","Y1","สัญญาทดลองปฏิบัติงาน","1","ปี","20260831"," "," "
"10026576","20250901","99991231","Y1","สัญญาทดลองปฏิบัติงาน","1","ปี","20260831"," "," "
"10026603","20251001","20260930","Y2","สัญญาปฏิบัติงาน",""," ","20260930"," "," "
"80007448","20251101","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20270131"," "," "
"80007449","20251101","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20270131"," "," "
"80007450","20251101","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20270131"," "," "
"80007451","20251101","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20270131"," "," "
"80007452","20251101","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20270131"," "," "
"80007453","20251101","99991231","ZZ","ระยะเวลาปฏิบัติงาน",""," ","20270131"," "," "
"10021501","20260301","99991231","Y2","สัญญาปฏิบัติงาน",""," ","20280229"," "," "
