"PERSONNEL_ID","BEGIN_DATE","END_DATE","EDUCATION_LEVEL_ID","EDUCATION_LEVEL_NAME","INSTITUTION_ID","INSTITUTION_NAME","MAJOR_ID","MAJOR_NAME","DEGREE_ID","DEGREE_NAME","NATION_ID","NATION_NAME_TH","DISTINCTION_ID","DISTINCTION_NAME","HIGHEST_EDUCATION","HIGHEST_EDUCATION_TH","EMPLOY_EDUCATION_ID","EMPLOY_EDUCATION_NAME","GRADUATE_DATE"
"10026143","","99991231","F1","ปริญญาโท/เทียบเท่า","1200000832","University of Southern California","10000778","Petroleum Engineering","10503","Master of Science","US","USA"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","20050809"
"10026143","19980523","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000871","วิศวกรรมเคมี","20256","วิทยาศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","20020321"
"10026143","","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000832","University of Southern California","10000778","Petroleum Engineering","10314","Doctor of Philosophy","US","USA"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20110810"
"00038241","19910101","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20001042","สำรวจ","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19940101"
"00038241","","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000797","University of Newcastle Upon Tyne","10000172","Civil Engineering","10297","Doctor of Engineering","GB","United Kingdom"," "," ","X","ใช่","99998","ปรับวุฒิ","20100601"
"00038241","19970528","99991231","F1","ปริญญาโท/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20001042","สำรวจ","20261","วิศวกรรมศาสตรมหาบัณฑิต","TH","ไทย"," "," "," ","ไม่","99998","ปรับวุฒิ","19990528"
"10002763","19940101","99991231","F1","ปริญญาโท/เทียบเท่า","1200000852","University of Tokyo","10000213","Computer Science","10503","Master of Science","JP","Japan"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","19980101"
"10002763","19900101","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000033","มหาวิทยาลัยธรรมศาสตร์","20000252","คอมพิวเตอร์ศึกษา","20256","วิทยาศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","19940101"
"10002763","19981001","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000852","University of Tokyo","10000507","Information Science","10314","Doctor of Philosophy","JP","Japan"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20030930"
"10026571","20190714","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000878","วิศวกรรมไฟฟ้า","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20230703"
"10026576","20150728","99991231","F1","ปริญญาโท/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000883","วิศวกรรมโยธา","20261","วิศวกรรมศาสตรมหาบัณฑิต","TH","ไทย"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","20170811"
"10026576","20190925","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000595","Tokyo Institute of Technology","10000172","Civil Engineering","10314","Doctor of Philosophy","JP","Japan"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20220922"
"10026576","20110525","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000883","วิศวกรรมโยธา","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","20150622"
"10026576","20170922","99991231","F1","ปริญญาโท/เทียบเท่า","1200000595","Tokyo Institute of Technology","10000172","Civil Engineering","10461","Master of Engineering","JP","Japan"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","20190920"
"10026603","20190524","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000062","มหาวิทยาลัยราชภัฏสวนสุนันทา","00000000","--ไม่สามารถระบุได้--","20245","รัฐประศาสนศาสตรบัณฑิต","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20221216"
"10021501","20130522","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000077","มหาวิทยาลัยศิลปากร","20000452","เทคโนโลยีสารสนเทศทางธุรกิจ","20256","วิทยาศาสตรบัณฑิต","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20170528"
"00042010","19960521","99991231","F1","ปริญญาโท/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000899","วิศวกรรมอุตสาหการ","20261","วิศวกรรมศาสตรมหาบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19981021"
"00042010","19920101","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000377","สถาบันเทคโนโลยีพระจอมเกล้าวิทยาเขตธนบุรี","20000899","วิศวกรรมอุตสาหการ","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","19960528"
"00042010","","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000278","Kobe University","10000650","Mechanical Engineering","10314","Doctor of Philosophy","JP","Japan"," "," ","X","ใช่","99997","วุฒิเพิ่มเติม","20100601"
"00040548","19900101","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000873","วิศวกรรมเครื่องกล","20260","วิศวกรรมศาสตรบัณฑิต","TH","ไทย"," "," "," ","ไม่","99999","วุฒิเริ่มบรรจุ","19940516"
"00040548","19990401","99991231","H1","ปริญญาเอก/เทียบเท่า","1200000852","University of Tokyo","10000650","Mechanical Engineering","10314","Doctor of Philosophy","JP","Japan"," "," ","X","ใช่","99998","ปรับวุฒิ","20030312"
"00040548","19940101","99991231","F1","ปริญญาโท/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000873","วิศวกรรมเครื่องกล","20261","วิศวกรรมศาสตรมหาบัณฑิต","TH","ไทย"," "," "," ","ไม่","99998","ปรับวุฒิ","19970513"
"10000393","20010908","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000427","สถาบันราชภัฎวไลยอลงกรณ์","20000052","การจัดการทั่วไป","20043","บริหารธุรกิจบัณฑิต","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20040211"
"10000393","19880601","99991231","C3","ปวส.หรือเทียบเท่า","2200000382","สถาบันเทคโนโลยีราชมงคล วิทยาเขตเทคนิคกรุงเทพ","20000243","คหกรรมศาสตร์ทั่วไป","20350","อนุปริญญา","TH","ไทย"," "," "," ","ไม่","99997","วุฒิเพิ่มเติม","19900330"
"10026074","20160727","99991231","H1","ปริญญาเอก/เทียบเท่า","2200000003","จุฬาลงกรณ์มหาวิทยาลัย","20000878","วิศวกรรมไฟฟ้า","20259","วิศวกรรมศาสตรดุษฎีบัณฑิต","TH","ไทย"," "," ","X","ใช่","99999","วุฒิเริ่มบรรจุ","20230803"
"10026074","20120601","99991231","D1","ปริญญาตรี/เทียบเท่า","2200000033","มหาวิทยาลัยธรรมศาสตร์","10000322","Electrical Engineering","10048","Bachelor of Engineering","TH","ไทย","00","เกียรตินิยมอันดับ 1"," ","ไม่","99997","วุฒิเพิ่มเติม","20160515"
