"PERSONNEL_ID","BEGIN_DATE","END_DATE","POSITIONTYPE_ID","POSITIONTYPE_NAME","POSITIONTYPE_TEXT","FIELDSTUDY","SUBDISCIPLINE_1","SUBDISCIPLINE_2","SUBDISCIPLINE_3","SUBDISCIPLINE_4","SUBDISCIPLINE_5"
"10026143","20250201","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","อาจารย์"," "," "," "," "," "," "
"00038241","20200701","20240630","0001","ตำแหน่งบริหารมีวาระ","รองคณบดีฝ่ายกิจการนิสิตคณะวิศวกรรมศาสตร์"," "," "," "," "," "," "
"00038241","20060206","20181029","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","ผู้ช่วยศาสตราจารย์"," "," "," "," "," "," "
"00038241","20160701","20200630","0001","ตำแหน่งบริหารมีวาระ","รองคณบดี"," "," "," "," "," "," "
"00038241","20250101","20271231","0001","ตำแหน่งบริหารมีวาระ","ผู้อำนวยการศูนย์จุฬาฯ-ชนบท"," "," "," "," "," "," "
"00038241","20181030","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","รองศาสตราจารย์","วิศวกรมสำรวจ","วิศวกรรมสำรวจและสารสนเทศภูมิศาสตร์"," "," "," "," "
"10002763","20060906","20240226","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","ผู้ช่วยศาสตราจารย์"," "," "," "," "," "," "
"10002763","20240227","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","รองศาสตราจารย์","วิศวกรรมคอมพิวเตอร์"," "," "," "," "," "
"10026576","20250901","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","อาจารย์"," "," "," "," "," "," "
"00042010","20251001","20260104","0001","ตำแหน่งบริหารมีวาระ","รองผู้อำนวยการสถาบันวิจัยโลหะและวัสดุ"," "," "," "," "," "," "
"00042010","20060831","20100531","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","ผู้ช่วยศาสตราจารย์"," "," "," "," "," "," "
"00042010","20180824","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","ศาสตราจารย์","วิศวกรรมอุตสาหการ"," "," "," "," "," "
"00042010","20260105","20280125","0001","ตำแหน่งบริหารมีวาระ","รองผู้อำนวยการด้านวิจัยสถาบันวิจัยโลหะและวัสดุ"," "," "," "," "," "," "
"00042010","20100601","20180823","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","รองศาสตราจารย์"," "," "," "," "," "," "
"00040548","20240701","20280630","0001","ตำแหน่งบริหารมีวาระ","ผู้ช่วยคณบดีคณะวิศวกรรมศาสตร์","","","","","",""
"00040548","20131213","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","รองศาสตราจารย์","","","","","",""
"00040548","20051121","20131212","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","ผู้ช่วยศาสตราจารย์","","","","","",""
"00040548","20240701","99991231","0009","ตำแหน่งรักษาการ","ผู้รักษาการแทนผู้อำนวยการฝ่ายบริหารคณะวิศวกรรมศาสตร์","","","","","",""
"10026074","20250101","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","อาจารย์"," "," "," "," "," "," "
"10026075","20250101","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","อาจารย์"," "," "," "," "," "," "
"10003091","20160701","20180830","0001","ตำแหน่งบริหารมีวาระ","รองคณบดี","","","","","",""
"10003091","20220831","20240815","0001","ตำแหน่งบริหารมีวาระ","ผู้อำนวยการสถาบันการขนส่ง","","","","","",""
"10003091","20070117","20171119","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","ผู้ช่วยศาสตราจารย์","","","","","",""
"10003091","20240518","20240815","0009","ตำแหน่งรักษาการ","ผู้รักษาการแทนรองอธิการบดี","","","","","",""
"10003091","20131001","20160517","0001","ตำแหน่งบริหารมีวาระ","รองคณบดี","","","","","",""
"10003091","20180831","20220830","0001","ตำแหน่งบริหารมีวาระ","ผู้อำนวยการสถาบันการขนส่ง","","","","","",""
"10003091","20241101","20280629","0001","ตำแหน่งบริหารมีวาระ","รองอธิการบดี","","","","","",""
"10003091","20171120","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","รองศาสตราจารย์","วิศวกรรมโยธา","","","","",""
"10003091","20240816","99991231","0009","ตำแหน่งรักษาการ","ผู้รักษาการแทนผู้อำนวยการสถาบันการขนส่ง","","","","","",""
"10026649","20251001","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","อาจารย์"," "," "," "," "," "," "
"10024199","20240701","20280630","0001","ตำแหน่งบริหารมีวาระ","ผู้ช่วยคณบดีคณะวิศวกรรมศาสตร์","","","","","",""
"10024735","20230401","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","อาจารย์","","","","","",""
"10024735","20240701","20280630","0001","ตำแหน่งบริหารมีวาระ","ผู้ช่วยคณบดีคณะวิศวกรรมศาสตร์","","","","","",""
"80007517","20250804","99991231","0010","ตำแหน่งวิชาการกลุ่มอาจารย์พิเศษ","อาจารย์พิเศษ"," "," "," "," "," "," "
"80007906","20260105","99991231","0010","ตำแหน่งวิชาการกลุ่มอาจารย์พิเศษ","อาจารย์พิเศษ"," "," "," "," "," "," "
"10002025","20170801","99991231","0002","ตำแหน่งบริหารไม่มีวาระ","หัวหน้ากลุ่มภารกิจบริหารและกายภาพ","","","","","",""
"10026304","20250501","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","รองศาสตราจารย์","วิศวกรรมเคมี"," "," "," "," "," "
"10026304","20260105","20271224","0001","ตำแหน่งบริหารมีวาระ","รองผู้อำนวยการสถาบันเทคโนโลยีชีวภาพและวิศวกรรมฯ"," "," "," "," "," "," "
"10024950","20230801","20250330","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","อาจารย์"," "," "," "," "," "," "
"10024950","20250331","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","ผู้ช่วยศาสตราจารย์","วิศวกรรมไฟฟ้า","วิศวกรรมไฟฟ้าสื่อสาร","เทคโนโลยีสมาร์ตกริด","วิศวกรรมควบคุมและเครื่องมือวัด"," "," "
"10026778","20251201","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","อาจารย์"," "," "," "," "," "," "
"10026790","20251201","99991231","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","รองศาสตราจารย์"," "," "," "," "," "," "
"10002061","20241125","20281124","0001","ตำแหน่งบริหารมีวาระ","รองผู้อำนวยการสถาบันวิจัยพลังงาน"," "," "," "," "," "," "
"10002061","20050510","20170507","0004","ตำแหน่งวิชาการกลุ่มอาจารย์ประจำ","ผู้ช่วยศาสตราจารย์"," "," "," "," "," "," "
"10002061","20250401","30380331","0003","ตำแหน่งบริหารมีวาระเพิ่มเติม","ผู้อำนวยการหลักสูตรวิทยาลัยสหศาสตร์บูรณาการแห่งจุฬาฯ"," "," "," "," "," "," "
