"OAAPROGRAMID","OPS_NO","PROGRAMNAME_TH","PROGRAMNAME_EN","TITLEDEGREE_TH","TITLEDEGREE_EN","DEGREENAME_TH","DEGREENAME_EN","FACULTYCODE","LEVELCODE","UPDATETIME"
"102","25490011105721","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์","Bachelor of Engineering Program in Computer Engineering","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-29 15:56:13"
"108","25590011100849","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี","Bachelor of Engineering Program in Nuclear and Radiological Engineering","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-29 15:57:32"
"114","25490011105664","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา","Bachelor of Engineering Program in Civil Engineering","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-29 15:58:17"
"120","25490011105708","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ","Bachelor of Engineering Program in Industrial Engineering","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-29 15:59:39"
"126","25490011105451","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสารสนเทศและการสื่อสาร (หลักสูตรนานาชาติ)","Bachelor of Engineering Program in Information and Communication Engineering (International Program)","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-29 16:01:57"
"132","25620016002636","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาระบบกายภาพที่เชื่อมประสานด้วยเครือข่ายไซเบอร์","Master of Engineering Program in Cyber-Physical System","วศ.ม.","M.Eng.","วิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2025-01-07 10:19:37"
"1382","T20222132110928","หลักสูตรวิทยาศาสตรดุษฎีบัณฑิต สาขาวิชาการจัดการทรัพยากรน้ำ","Doctor of Philosophy Program in Water Resources Management","วท.ด.","Ph.D.","วิทยาศาสตรดุษฎีบัณฑิต","Doctor of Philosophy","21","5","2024-12-23 14:39:50"
"1404","T20242150106290","หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเซมิคอนดักเตอร์ (หลักสูตรนานาชาติ)","Bachelor of Engineering Program in Semiconductor Engineering (International Program)","วศ.บ.","B.Eng.","วิศวกรรมศาสตรบัณฑิต","Bachelor of Engineering","21","1","2024-11-21 15:50:35"
"141","25530011103881","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า","Master of Engineering Program in Electrical Engineering","วศ.ม.","M.Eng.","วิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2024-12-23 14:18:57"
"147","25560011103074","หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมสำรวจ","Master of Engineering Program in Survey Engineering","วศ.ม.","M.Eng.","วิศวกรรมศาสตรมหาบัณฑิต","Master of Engineering","21","3","2024-12-23 14:19:38"
